Timestamp NoNodes NoLinks AverageDegree MaxDeg Singletons Doubletons MeanSquaredDeg Assortativity AverageClustering TriCount 
1165073426 0 0 0.000000 0 0 0 0.000000 0.000000 0.000000 0 
1165173426 8001 18422 4.604924 46 2055 1319 42.170479 0.208069 0.091433 4174 
1165273426 8038 18564 4.619059 46 2058 1327 42.443145 0.208602 0.092160 4221 
1165373426 8076 18711 4.633730 46 2074 1318 42.725359 0.207723 0.092708 4264 
1165473426 8111 18879 4.655160 46 2084 1324 43.269634 0.209536 0.092731 4347 
1165573426 8137 18988 4.667076 46 2095 1318 43.516775 0.209858 0.092183 4403 
1165673426 8160 19095 4.680147 46 2104 1314 43.841422 0.210092 0.092257 4458 
1165773426 8181 19173 4.687202 46 2116 1302 43.987777 0.209741 0.091828 4477 
1165873426 8215 19299 4.698478 46 2126 1307 44.246135 0.209710 0.091883 4531 
1165973426 8257 19435 4.707521 46 2134 1312 44.467240 0.209523 0.092219 4577 
1166073426 8298 19602 4.724512 46 2140 1318 44.833936 0.211749 0.092831 4649 
1166173426 8328 19726 4.737272 46 2135 1332 45.128002 0.212436 0.093604 4710 
1166273426 8346 19822 4.750060 46 2137 1331 45.401390 0.211915 0.093550 4774 
1166373426 8359 19918 4.765642 46 2133 1333 45.764804 0.211551 0.093932 4828 
1166473426 8389 20042 4.778162 46 2136 1335 46.030039 0.211312 0.093852 4876 
1166573426 8415 20171 4.794058 46 2142 1343 46.499109 0.212040 0.093823 4951 
1166673426 8447 20313 4.809518 46 2147 1344 46.936901 0.205895 0.093784 5015 
1166773426 8476 20461 4.827985 46 2146 1350 47.406088 0.206277 0.093839 5094 
1166873426 8504 20566 4.836783 46 2154 1349 47.596190 0.206737 0.094049 5136 
1166973426 8516 20633 4.845702 46 2156 1345 47.792626 0.206877 0.093966 5164 
1167073426 8538 20763 4.863668 46 2155 1344 48.189506 0.208340 0.094283 5239 
1167173426 8558 20871 4.877541 47 2154 1347 48.467866 0.208380 0.094879 5310 
1167273426 8582 20982 4.889769 49 2153 1358 48.841529 0.208391 0.095127 5364 
1167373426 8612 21105 4.901301 50 2159 1361 49.113330 0.208791 0.095580 5413 
1167473426 8635 21213 4.913260 51 2159 1356 49.357730 0.208968 0.096046 5456 
1167573426 8648 21284 4.922294 51 2163 1350 49.567761 0.208375 0.095988 5484 
1167673426 8671 21385 4.932534 52 2166 1357 49.913043 0.208861 0.096300 5546 
1167773426 8697 21503 4.944924 53 2177 1355 50.222835 0.208545 0.096175 5603 
1167873426 8735 21623 4.950887 54 2190 1359 50.368632 0.208840 0.096483 5650 
1167973426 8765 21750 4.962921 55 2194 1370 50.702795 0.210202 0.096844 5718 
1168073426 8787 21837 4.970297 55 2201 1366 50.876977 0.209882 0.097072 5760 
1168173426 8813 21931 4.976966 55 2213 1367 51.070464 0.210310 0.096786 5801 
1168273426 8844 22043 4.984848 56 2224 1377 51.318634 0.209838 0.097283 5868 
1168373426 8874 22175 4.997746 56 2230 1379 51.670723 0.208958 0.097656 5926 
1168473426 8905 22305 5.009545 56 2233 1384 51.991465 0.208565 0.097749 5975 
1168573426 8934 22435 5.022386 56 2227 1385 52.222745 0.209500 0.098390 6019 
1168673426 8958 22532 5.030587 56 2231 1385 52.422416 0.209072 0.098467 6057 
1168773426 8980 22623 5.038530 56 2236 1392 52.695768 0.210859 0.098416 6103 
1168873426 9004 22704 5.043092 57 2239 1397 52.845180 0.211509 0.098635 6131 
1168973426 9035 22847 5.057443 58 2242 1404 53.304040 0.213921 0.098424 6209 
1169073426 9073 22983 5.066240 58 2258 1415 53.644880 0.215218 0.098440 6288 
1169173426 9104 23131 5.081503 59 2255 1418 53.986819 0.215222 0.098680 6342 
1169273426 9133 23254 5.092303 61 2261 1417 54.273295 0.214529 0.098829 6402 
1169373426 9152 23362 5.105332 61 2259 1429 54.592657 0.215848 0.098762 6484 
1169473426 9178 23459 5.112007 61 2271 1425 54.823055 0.217068 0.098897 6560 
1169573426 9209 23582 5.121512 61 2276 1426 55.030079 0.218294 0.098888 6615 
1169673426 9239 23733 5.137569 61 2274 1433 55.367248 0.218908 0.098861 6683 
1169773426 9280 23891 5.148922 62 2286 1438 55.742672 0.219921 0.099455 6790 
1169873426 9310 24009 5.157680 63 2291 1439 55.985392 0.220835 0.099559 6847 
1169973426 9330 24116 5.169561 63 2296 1440 56.264094 0.220781 0.099168 6896 
1170073426 9351 24229 5.182120 63 2294 1451 56.598439 0.220868 0.099853 6980 
1170173426 9380 24375 5.197228 63 2296 1452 57.011727 0.220551 0.099777 7053 
1170273426 9420 24550 5.212314 63 2311 1457 57.497877 0.221923 0.099981 7159 
1170373426 9448 24733 5.235605 64 2310 1452 58.118544 0.221785 0.100593 7303 
1170473426 9479 24909 5.255618 67 2315 1458 58.684671 0.222030 0.100753 7425 
1170573426 9508 25041 5.267354 67 2319 1452 58.944047 0.221318 0.100839 7490 
1170673426 9532 25164 5.279899 67 2317 1464 59.221150 0.220725 0.100905 7541 
1170773426 9559 25282 5.289675 67 2327 1453 59.424626 0.220394 0.101510 7598 
1170873426 9601 25431 5.297573 67 2342 1461 59.685866 0.220229 0.101764 7669 
1170973426 9630 25603 5.317342 67 2346 1469 60.227414 0.220689 0.102128 7778 
1171073426 9666 25752 5.328367 67 2352 1479 60.464929 0.221342 0.102074 7854 
1171173426 9697 25886 5.338971 67 2340 1499 60.689285 0.221591 0.102531 7914 
1171273426 9724 26026 5.352941 68 2346 1487 61.045866 0.221634 0.102763 7994 
1171373426 9748 26181 5.371563 69 2343 1482 61.478252 0.221924 0.103251 8088 
1171473426 9793 26339 5.379148 69 2361 1481 61.784948 0.221693 0.102674 8172 
1171573426 9834 26536 5.396787 70 2373 1486 62.323978 0.222245 0.102897 8331 
1171673426 9865 26659 5.404764 70 2375 1498 62.515357 0.222466 0.102805 8380 
1171773426 9879 26732 5.411884 71 2371 1502 62.681243 0.222380 0.103155 8412 
1171873426 9892 26800 5.418520 71 2372 1504 62.846340 0.221890 0.102886 8446 
1171973426 9907 26878 5.426062 71 2369 1510 63.021500 0.220841 0.102894 8486 
1172073426 9924 26973 5.435913 71 2377 1500 63.265014 0.220195 0.103133 8550 
1172173426 9956 27135 5.450984 71 2387 1493 63.672157 0.220623 0.103621 8654 
1172273426 9982 27314 5.472651 72 2376 1503 64.206171 0.220014 0.103619 8776 
1172373426 10006 27430 5.482710 73 2379 1507 64.477913 0.218430 0.103751 8826 
1172473426 10038 27571 5.493325 73 2384 1510 64.746563 0.216823 0.104253 8893 
1172573426 10072 27771 5.514496 73 2386 1521 65.283956 0.216890 0.104715 9010 
1172673426 10105 27937 5.529342 73 2399 1522 65.860465 0.218094 0.104816 9147 
1172773426 10132 28128 5.552310 73 2393 1523 66.512041 0.218112 0.104875 9273 
1172873426 10164 28290 5.566706 73 2389 1533 66.915978 0.217625 0.105721 9383 
1172973426 10186 28381 5.572551 73 2396 1531 67.036717 0.217838 0.105654 9426 
1173073426 10221 28541 5.584776 73 2397 1529 67.320614 0.217390 0.105164 9487 
1173173426 10252 28736 5.605931 76 2396 1534 67.937573 0.218526 0.106279 9605 
1173273426 10283 28917 5.624234 76 2409 1521 68.494214 0.219503 0.106138 9733 
1173373426 10310 29095 5.644035 76 2400 1532 69.063434 0.219762 0.107131 9856 
1173473426 10344 29265 5.658353 76 2406 1537 69.464230 0.219457 0.106993 9953 
1173573426 10365 29382 5.669465 76 2407 1538 69.772311 0.219626 0.107248 10021 
1173673426 10383 29486 5.679669 76 2410 1540 70.088799 0.219869 0.107265 10082 
1173773426 10415 29650 5.693711 76 2417 1537 70.471243 0.218054 0.107661 10169 
1173873426 10451 29809 5.704526 76 2426 1543 70.776959 0.218429 0.108145 10262 
1173973426 10473 29988 5.726726 76 2424 1545 71.355295 0.217210 0.108322 10378 
1174073426 10507 30141 5.737318 76 2433 1546 71.742457 0.218589 0.108098 10460 
1174173426 10529 30275 5.750784 76 2435 1539 72.169627 0.219709 0.108061 10550 
1174273426 10548 30401 5.764316 76 2430 1543 72.554418 0.219841 0.108238 10625 
1174373426 10585 30585 5.778932 76 2432 1548 72.930940 0.219052 0.109103 10743 
1174473426 10616 30730 5.789375 76 2440 1553 73.259231 0.219657 0.109213 10836 
1174573426 10641 30891 5.806033 76 2439 1556 73.861855 0.221374 0.109170 10954 
1174673426 10673 31063 5.820856 76 2446 1552 74.372341 0.222029 0.109127 11075 
1174773426 10693 31168 5.829608 76 2450 1554 74.645095 0.222342 0.109279 11150 
1174873426 10717 31275 5.836521 76 2462 1552 74.915741 0.222314 0.109283 11241 
1174973426 10761 31452 5.845553 76 2482 1554 75.285568 0.221347 0.109292 11360 
1175073426 10788 31598 5.857990 76 2478 1558 75.606229 0.222774 0.108857 11446 
1175173426 10817 31740 5.868540 77 2487 1554 75.862254 0.222429 0.109078 11528 
1175273426 10847 31876 5.877385 77 2489 1563 76.179773 0.223055 0.108861 11602 
1175373426 10870 32001 5.887948 78 2491 1571 76.504876 0.222876 0.109313 11697 
1175473426 10881 32083 5.897068 78 2491 1574 76.766290 0.222564 0.109288 11767 
1175573426 10910 32256 5.913107 78 2495 1567 77.175252 0.222793 0.109353 11886 
1175673426 10931 32393 5.926814 78 2494 1571 77.536364 0.222877 0.109094 11967 
1175773426 10949 32519 5.940086 78 2495 1571 77.951046 0.223414 0.109213 12063 
1175873426 10982 32628 5.942087 78 2507 1583 78.048807 0.223059 0.108817 12113 
1175973426 11005 32749 5.951658 78 2506 1586 78.252431 0.223467 0.108573 12176 
1176073426 11031 32860 5.957755 78 2516 1589 78.443659 0.224064 0.108904 12245 
1176173426 11060 33037 5.974141 78 2520 1586 78.980108 0.223161 0.108990 12351 
1176273426 11108 33286 5.993158 79 2540 1581 79.778898 0.225512 0.108896 12560 
1176373426 11128 33409 6.004493 79 2548 1573 80.177750 0.225069 0.108730 12653 
1176473426 11152 33535 6.014168 79 2543 1586 80.397776 0.225283 0.108663 12711 
1176573426 11170 33647 6.024530 79 2540 1592 80.651030 0.225747 0.109778 12791 
1176673426 11190 33758 6.033601 79 2542 1600 80.948347 0.225183 0.109966 12852 
1176773426 11219 33956 6.053302 79 2552 1595 81.622605 0.225369 0.109902 13019 
1176873426 11255 34181 6.073923 80 2548 1604 82.326788 0.227368 0.109724 13218 
1176973426 11282 34332 6.086155 80 2548 1605 82.687467 0.227336 0.110189 13302 
1177073426 11321 34506 6.095928 80 2561 1605 82.974119 0.227559 0.109748 13412 
1177173426 11346 34619 6.102415 80 2573 1604 83.218756 0.227685 0.109564 13489 
1177273426 11364 34721 6.110700 81 2566 1617 83.460577 0.227382 0.109543 13548 
1177373426 11393 34887 6.124287 81 2574 1621 83.921004 0.226772 0.109327 13661 
1177473426 11419 35081 6.144321 81 2566 1624 84.438042 0.227085 0.109653 13784 
1177573426 11454 35261 6.156976 81 2566 1628 84.837087 0.227128 0.109592 13901 
1177673426 11491 35419 6.164651 82 2575 1634 85.120181 0.226995 0.109738 14004 
1177773426 11516 35534 6.171240 82 2577 1639 85.325634 0.226457 0.109789 14051 
1177873426 11536 35645 6.179785 82 2585 1633 85.624133 0.227256 0.109918 14158 
1177973426 11576 35835 6.191258 84 2603 1630 86.033863 0.225906 0.109822 14262 
1178073426 11609 36023 6.206047 84 2602 1630 86.483418 0.226481 0.110554 14393 
1178173426 11641 36207 6.220600 84 2593 1642 86.845804 0.226327 0.110990 14480 
1178273426 11661 36331 6.231198 84 2597 1634 87.167310 0.227125 0.110839 14564 
1178373426 11685 36484 6.244587 85 2602 1639 87.726487 0.228053 0.110752 14724 
1178473426 11711 36599 6.250363 85 2611 1636 87.930493 0.228226 0.111079 14799 
1178573426 11733 36780 6.269496 87 2608 1642 88.526379 0.227919 0.111144 14933 
1178673426 11765 36974 6.285423 88 2619 1642 89.052274 0.227816 0.110996 15069 
1178773426 11804 37157 6.295662 88 2626 1644 89.383429 0.228095 0.111165 15184 
1178873426 11834 37320 6.307250 88 2630 1654 89.767788 0.228370 0.111615 15320 
1178973426 11849 37398 6.312431 88 2629 1656 89.938560 0.228309 0.111940 15385 
1179073426 11876 37522 6.318963 88 2639 1659 90.210340 0.228587 0.112165 15472 
1179173426 11910 37704 6.331486 90 2654 1660 90.682620 0.227946 0.112046 15625 
1179273426 11941 37893 6.346705 90 2654 1670 91.090361 0.228127 0.112475 15734 
1179373426 11980 38066 6.354925 90 2670 1668 91.380467 0.227950 0.112284 15822 
1179473426 12010 38240 6.368027 91 2668 1684 91.831307 0.226068 0.112494 15920 
1179573426 12027 38366 6.379978 92 2673 1676 92.237632 0.225111 0.112366 16001 
1179673426 12044 38462 6.386915 92 2677 1675 92.518432 0.225663 0.112441 16088 
1179773426 12066 38619 6.401293 92 2673 1681 92.951600 0.225066 0.112785 16217 
1179873426 12091 38770 6.413034 92 2676 1678 93.278968 0.224974 0.113011 16310 
1179973426 12135 39001 6.427853 92 2689 1682 93.847384 0.224884 0.113117 16464 
1180073426 12170 39212 6.444043 93 2696 1684 94.516352 0.225295 0.113210 16678 
1180173426 12189 39325 6.452539 94 2700 1679 94.798589 0.225775 0.113103 16753 
1180273426 12206 39428 6.460429 94 2700 1687 95.106997 0.225701 0.113120 16845 
1180373426 12241 39578 6.466465 94 2714 1685 95.365901 0.226268 0.112711 16951 
1180473426 12265 39759 6.483327 94 2711 1699 95.930697 0.226187 0.113182 17103 
1180573426 12300 39995 6.503252 94 2714 1695 96.776748 0.225238 0.113033 17273 
1180673426 12330 40181 6.517599 94 2712 1706 97.222871 0.225807 0.113226 17400 
1180773426 12352 40321 6.528659 94 2713 1707 97.619657 0.225208 0.113217 17518 
1180873426 12370 40415 6.534357 94 2716 1710 97.916249 0.225328 0.113414 17621 
1180973426 12392 40528 6.540994 94 2718 1714 98.133312 0.225563 0.113409 17720 
1181073426 12441 40702 6.543204 94 2731 1732 98.298690 0.225715 0.113122 17823 
1181173426 12477 40864 6.550293 94 2734 1741 98.582031 0.225449 0.113321 17927 
1181273426 12519 41038 6.556115 94 2744 1749 98.799744 0.226056 0.113236 18027 
1181373426 12547 41162 6.561250 94 2747 1755 98.975691 0.226162 0.113398 18111 
1181473426 12573 41272 6.565179 94 2754 1763 99.199714 0.226042 0.113532 18192 
1181573426 12596 41410 6.575103 94 2753 1771 99.527151 0.225851 0.113646 18292 
1181673426 12635 41617 6.587574 94 2756 1784 100.018837 0.227039 0.113601 18444 
1181773426 12685 41824 6.594245 94 2773 1790 100.394797 0.227266 0.113662 18636 
1181873426 12720 42032 6.608805 94 2775 1790 100.987107 0.227496 0.113694 18797 
1181973426 12746 42191 6.620273 94 2778 1784 101.382238 0.227784 0.113651 18901 
1182073426 12774 42333 6.627994 94 2779 1798 101.767183 0.228390 0.114357 19043 
1182173426 12799 42472 6.636768 94 2785 1799 102.114853 0.228934 0.114535 19144 
1182273426 12829 42655 6.649778 94 2784 1805 102.536753 0.229514 0.114923 19274 
1182373426 12859 42827 6.661016 94 2795 1799 102.959017 0.229433 0.114661 19404 
1182473426 12900 43038 6.672558 94 2804 1787 103.324806 0.229992 0.114466 19543 
1182573426 12934 43220 6.683161 94 2819 1775 103.684243 0.231126 0.114504 19678 
1182673426 12958 43355 6.691619 94 2812 1791 103.961568 0.231073 0.114317 19752 
1182773426 12996 43496 6.693752 94 2830 1790 104.180825 0.231027 0.114378 19842 
1182873426 13040 43697 6.701994 94 2846 1795 104.590491 0.230594 0.114229 19959 
1182973426 13075 43858 6.708681 94 2855 1793 104.885966 0.230929 0.114198 20074 
1183073426 13122 44047 6.713458 94 2874 1787 105.092364 0.230921 0.114161 20179 
1183173426 13153 44210 6.722421 94 2884 1788 105.449555 0.231608 0.113859 20301 
1183273426 13173 44329 6.730282 94 2884 1788 105.664769 0.231361 0.114013 20363 
1183373426 13199 44472 6.738692 94 2889 1790 105.958785 0.231272 0.114101 20481 
1183473426 13237 44679 6.750623 94 2895 1795 106.424568 0.230186 0.114297 20625 
1183573426 13285 44855 6.752729 94 2912 1802 106.615130 0.230539 0.113933 20753 
1183673426 13314 45017 6.762355 94 2920 1806 106.925342 0.231061 0.113714 20860 
1183773426 13343 45231 6.779735 94 2911 1817 107.485573 0.230578 0.114120 21049 
1183873426 13377 45391 6.786424 94 2917 1816 107.717126 0.231041 0.113978 21139 
1183973426 13409 45543 6.792900 94 2929 1818 108.001492 0.231649 0.113999 21278 
1184073426 13452 45718 6.797205 94 2943 1816 108.227475 0.232164 0.113850 21414 
1184173426 13486 45911 6.808690 94 2935 1830 108.645410 0.231571 0.114258 21548 
1184273426 13521 46120 6.821981 94 2929 1839 109.078766 0.231858 0.114329 21678 
1184373426 13556 46314 6.832989 94 2933 1849 109.460608 0.232043 0.114108 21808 
1184473426 13569 46448 6.846194 94 2924 1854 109.900803 0.232630 0.114314 21945 
1184573426 13598 46651 6.861450 94 2924 1856 110.408737 0.232208 0.115078 22080 
1184673426 13636 46844 6.870637 94 2932 1859 110.768847 0.231975 0.115315 22201 
1184773426 13683 47033 6.874662 94 2950 1863 110.994957 0.232746 0.115019 22325 
1184873426 13726 47263 6.886638 94 2960 1861 111.575259 0.232852 0.115147 22571 
1184973426 13772 47466 6.893116 94 2973 1865 111.897764 0.232911 0.114926 22700 
1185073426 13811 47618 6.895663 94 2982 1867 112.015785 0.233067 0.114726 22772 
1185173426 13840 47764 6.902312 94 2984 1875 112.326012 0.233007 0.114679 22931 
1185273426 13867 47906 6.909353 95 2988 1881 112.703252 0.233028 0.114969 23086 
1185373426 13906 48076 6.914425 95 3001 1885 112.953114 0.232593 0.115057 23182 
1185473426 13942 48266 6.923827 96 3008 1891 113.354182 0.232597 0.115074 23301 
1185573426 13986 48454 6.928929 97 3025 1898 113.690977 0.232897 0.115010 23450 
1185673426 14010 48580 6.935046 97 3026 1909 113.934475 0.232422 0.115043 23537 
1185773426 14051 48764 6.941001 97 3031 1919 114.172514 0.232352 0.115058 23644 
1185873426 14090 48960 6.949610 97 3046 1919 114.544784 0.232232 0.114733 23797 
1185973426 14118 49132 6.960193 97 3049 1919 114.952685 0.232173 0.114770 23924 
1186073426 14159 49333 6.968430 97 3053 1923 115.201356 0.231877 0.114864 24042 
1186173426 14208 49547 6.974521 97 3066 1936 115.574465 0.232274 0.114809 24249 
1186273426 14234 49698 6.982998 98 3067 1941 115.858648 0.231588 0.114638 24353 
1186373426 14272 49879 6.989770 98 3078 1936 116.184277 0.231300 0.114802 24496 
1186473426 14315 50120 7.002445 98 3094 1923 116.698568 0.231658 0.114317 24671 
1186573426 14348 50334 7.016170 98 3100 1929 117.181489 0.232120 0.114955 24862 
1186673426 14387 50583 7.031765 99 3100 1943 117.937583 0.232803 0.115481 25113 
1186773426 14425 50777 7.040139 99 3116 1935 118.262600 0.231765 0.115388 25254 
1186873426 14455 50919 7.045175 100 3121 1932 118.455898 0.231058 0.115450 25331 
1186973426 14478 51059 7.053322 100 3119 1939 118.740434 0.230364 0.115404 25422 
1187073426 14511 51236 7.061677 100 3129 1947 119.083730 0.230505 0.115174 25556 
1187173426 14547 51436 7.071699 100 3145 1946 119.581219 0.230818 0.115459 25787 
1187273426 14584 51600 7.076248 100 3151 1959 119.818020 0.230458 0.115328 25907 
1187373426 14615 51802 7.088881 100 3155 1956 120.237975 0.230473 0.115459 26067 
1187473426 14643 51981 7.099775 100 3155 1973 120.702179 0.230310 0.115904 26240 
1187573426 14669 52136 7.108324 100 3169 1966 121.028836 0.229771 0.115672 26343 
1187673426 14702 52373 7.124609 101 3162 1972 121.542783 0.229356 0.115775 26528 
1187773426 14744 52537 7.126560 101 3168 1991 121.662371 0.229070 0.115800 26607 
1187873426 14778 52694 7.131412 101 3178 1992 121.844093 0.228775 0.115551 26693 
1187973426 14824 52879 7.134242 101 3199 1997 122.086751 0.227940 0.115278 26813 
1188073426 14851 53058 7.145377 101 3205 1992 122.468790 0.227865 0.115288 26966 
1188173426 14876 53233 7.156897 101 3208 1987 122.876311 0.228386 0.115335 27143 
1188273426 14916 53463 7.168544 101 3209 1993 123.317914 0.227964 0.115178 27299 
1188373426 14953 53667 7.178091 101 3209 1998 123.615997 0.227647 0.114947 27420 
