Timestamp NoNodes NoLinks AverageDegree MaxDeg Singletons Doubletons MeanSquaredDeg Assortativity AverageClustering TriCount 
1165073426 0 0 0.000000 0 0 0 0.000000 0.000000 0.000000 0 
1165173426 8001 18422 4.604924 47 2066 1305 42.258468 0.205317 0.091455 4172 
1165273426 8038 18564 4.619059 47 2065 1314 42.583230 0.204032 0.092739 4236 
1165373426 8076 18711 4.633730 49 2078 1309 42.981922 0.203054 0.092522 4287 
1165473426 8111 18879 4.655160 49 2080 1315 43.457773 0.203085 0.093556 4362 
1165573426 8137 18988 4.667076 49 2080 1325 43.706526 0.203078 0.094470 4403 
1165673426 8160 19095 4.680147 49 2084 1322 43.949510 0.202902 0.094761 4441 
1165773426 8181 19173 4.687202 49 2089 1324 44.132013 0.202974 0.094734 4469 
1165873426 8215 19299 4.698478 50 2099 1321 44.445283 0.202709 0.095542 4517 
1165973426 8257 19435 4.707521 50 2103 1339 44.734165 0.202151 0.096043 4562 
1166073426 8298 19602 4.724512 50 2120 1324 45.107255 0.200670 0.095857 4612 
1166173426 8328 19726 4.737272 50 2121 1336 45.384966 0.200249 0.096551 4670 
1166273426 8346 19822 4.750060 50 2117 1343 45.656842 0.199738 0.097448 4712 
1166373426 8359 19918 4.765642 51 2116 1343 45.984926 0.199235 0.097895 4762 
1166473426 8389 20042 4.778162 51 2118 1355 46.306354 0.199163 0.098067 4803 
1166573426 8415 20171 4.794058 51 2122 1356 46.653595 0.198989 0.098919 4876 
1166673426 8447 20313 4.809518 52 2122 1374 47.021428 0.199045 0.098874 4919 
1166773426 8476 20461 4.827985 52 2130 1371 47.411751 0.199529 0.098943 4985 
1166873426 8504 20566 4.836783 52 2142 1371 47.641816 0.200317 0.099603 5028 
1166973426 8516 20633 4.845702 52 2143 1371 47.862612 0.200319 0.099987 5061 
1167073426 8538 20763 4.863668 52 2143 1374 48.260717 0.200357 0.100489 5122 
1167173426 8558 20871 4.877541 52 2146 1367 48.519280 0.199654 0.100824 5167 
1167273426 8582 20982 4.889769 52 2145 1380 48.762060 0.199333 0.100842 5205 
1167373426 8612 21105 4.901301 52 2147 1390 48.999768 0.198528 0.100934 5248 
1167473426 8635 21213 4.913260 53 2155 1387 49.292646 0.197949 0.101040 5283 
1167573426 8648 21284 4.922294 53 2153 1392 49.492368 0.198693 0.101638 5320 
1167673426 8671 21385 4.932534 53 2154 1393 49.703379 0.199414 0.101717 5358 
1167773426 8697 21503 4.944924 53 2162 1381 49.997700 0.199813 0.102494 5408 
1167873426 8735 21623 4.950887 53 2174 1390 50.188666 0.200123 0.102994 5461 
1167973426 8765 21750 4.962921 53 2179 1395 50.486937 0.200384 0.103466 5514 
1168073426 8787 21837 4.970297 53 2187 1397 50.657562 0.200261 0.103296 5542 
1168173426 8813 21931 4.976966 53 2194 1402 50.869624 0.199889 0.103849 5586 
1168273426 8844 22043 4.984848 54 2199 1406 51.063094 0.199425 0.104141 5618 
1168373426 8874 22175 4.997746 54 2204 1410 51.334686 0.199605 0.104696 5668 
1168473426 8905 22305 5.009545 54 2215 1404 51.637507 0.199392 0.104645 5720 
1168573426 8934 22435 5.022386 54 2218 1403 51.927916 0.199135 0.105261 5764 
1168673426 8958 22532 5.030587 54 2225 1399 52.100915 0.198791 0.105060 5790 
1168773426 8980 22623 5.038530 54 2227 1406 52.311359 0.198488 0.105349 5823 
1168873426 9004 22704 5.043092 54 2234 1412 52.439360 0.198528 0.105156 5847 
1168973426 9035 22847 5.057443 54 2237 1415 52.795351 0.198185 0.105544 5908 
1169073426 9073 22983 5.066240 54 2253 1411 53.065138 0.197473 0.105664 5953 
1169173426 9104 23131 5.081503 55 2250 1428 53.450132 0.197493 0.105599 6009 
1169273426 9133 23254 5.092303 55 2244 1440 53.677871 0.198004 0.105830 6051 
1169373426 9152 23362 5.105332 55 2243 1438 53.933348 0.198329 0.105976 6090 
1169473426 9178 23459 5.112007 55 2251 1445 54.108520 0.199015 0.106334 6137 
1169573426 9209 23582 5.121512 55 2265 1442 54.352916 0.199183 0.106250 6177 
1169673426 9239 23733 5.137569 55 2256 1456 54.680810 0.198820 0.106937 6228 
1169773426 9280 23891 5.148922 55 2259 1474 54.952802 0.198150 0.107568 6276 
1169873426 9310 24009 5.157680 55 2274 1466 55.213963 0.197322 0.107432 6323 
1169973426 9330 24116 5.169561 55 2270 1478 55.470954 0.197152 0.107644 6368 
1170073426 9351 24229 5.182120 55 2276 1472 55.733291 0.197150 0.107316 6403 
1170173426 9380 24375 5.197228 55 2282 1468 56.084435 0.197987 0.106855 6468 
1170273426 9420 24550 5.212314 56 2292 1465 56.474735 0.197333 0.106555 6528 
1170373426 9448 24733 5.235605 56 2290 1469 57.017358 0.197854 0.107055 6610 
1170473426 9479 24909 5.255618 56 2292 1470 57.510919 0.197284 0.107213 6676 
1170573426 9508 25041 5.267354 56 2296 1477 57.810265 0.197385 0.107893 6736 
1170673426 9532 25164 5.279899 56 2295 1481 58.152329 0.196447 0.108064 6786 
1170773426 9559 25282 5.289675 56 2294 1490 58.441469 0.195736 0.108070 6820 
1170873426 9601 25431 5.297573 56 2309 1499 58.740131 0.195644 0.108633 6887 
1170973426 9630 25603 5.317342 56 2304 1504 59.211838 0.195157 0.109404 6971 
1171073426 9666 25752 5.328367 56 2313 1514 59.560108 0.195327 0.109370 7021 
1171173426 9697 25886 5.338971 56 2317 1522 59.882438 0.194997 0.110037 7070 
1171273426 9724 26026 5.352941 57 2318 1530 60.260592 0.195300 0.109691 7116 
1171373426 9748 26181 5.371563 57 2316 1534 60.720763 0.195311 0.109795 7187 
1171473426 9793 26339 5.379148 57 2328 1545 61.054427 0.195341 0.109725 7249 
1171573426 9834 26536 5.396787 57 2331 1542 61.479764 0.195674 0.110338 7321 
1171673426 9865 26659 5.404764 58 2342 1540 61.734415 0.195702 0.110720 7369 
1171773426 9879 26732 5.411884 58 2351 1530 61.931774 0.195464 0.110504 7395 
1171873426 9892 26800 5.418520 58 2354 1535 62.117266 0.194879 0.110526 7425 
1171973426 9907 26878 5.426062 58 2359 1533 62.302614 0.194611 0.110575 7451 
1172073426 9924 26973 5.435913 58 2360 1535 62.580008 0.194238 0.110725 7495 
1172173426 9956 27135 5.450984 58 2361 1543 63.031137 0.194160 0.110222 7552 
1172273426 9982 27314 5.472651 59 2354 1544 63.529152 0.192858 0.110443 7626 
1172373426 10006 27430 5.482710 59 2350 1557 63.790526 0.193389 0.111268 7675 
1172473426 10038 27571 5.493325 59 2358 1554 64.076310 0.193526 0.111628 7731 
1172573426 10072 27771 5.514496 59 2359 1549 64.619936 0.193350 0.111382 7814 
1172673426 10105 27937 5.529342 59 2369 1540 65.039090 0.192948 0.111494 7883 
1172773426 10132 28128 5.552310 59 2368 1539 65.614686 0.193237 0.111365 7957 
1172873426 10164 28290 5.566706 59 2373 1546 66.064738 0.192671 0.111500 8014 
1172973426 10186 28381 5.572551 59 2384 1545 66.275280 0.192896 0.111282 8043 
1173073426 10221 28541 5.584776 59 2397 1540 66.668819 0.193111 0.111400 8112 
1173173426 10252 28736 5.605931 59 2396 1550 67.266680 0.192369 0.110861 8183 
1173273426 10283 28917 5.624234 59 2403 1551 67.749489 0.191888 0.110654 8247 
1173373426 10310 29095 5.644035 60 2403 1555 68.260524 0.191370 0.110689 8315 
1173473426 10344 29265 5.658353 60 2409 1556 68.699923 0.191281 0.110175 8382 
1173573426 10365 29382 5.669465 60 2407 1560 69.012060 0.191444 0.110041 8439 
1173673426 10383 29486 5.679669 60 2408 1561 69.315612 0.191219 0.110030 8485 
1173773426 10415 29650 5.693711 60 2412 1569 69.792031 0.192138 0.110273 8556 
1173873426 10451 29809 5.704526 60 2413 1580 70.141805 0.190660 0.110562 8613 
1173973426 10473 29988 5.726726 60 2417 1579 70.755085 0.190244 0.110769 8695 
1174073426 10507 30141 5.737318 60 2425 1582 71.036642 0.190823 0.110315 8739 
1174173426 10529 30275 5.750784 61 2428 1587 71.464147 0.190189 0.110448 8791 
1174273426 10548 30401 5.764316 61 2432 1586 71.825939 0.189789 0.110774 8848 
1174373426 10585 30585 5.778932 62 2451 1580 72.349929 0.188320 0.110428 8911 
1174473426 10616 30730 5.789375 63 2458 1580 72.704032 0.186729 0.110660 8974 
1174573426 10641 30891 5.806033 63 2450 1595 73.126962 0.186566 0.110489 9036 
1174673426 10673 31063 5.820856 63 2457 1601 73.581186 0.186522 0.110857 9113 
1174773426 10693 31168 5.829608 63 2457 1601 73.840082 0.186260 0.110981 9160 
1174873426 10717 31275 5.836521 63 2467 1596 74.096855 0.187008 0.110473 9199 
1174973426 10761 31452 5.845553 63 2484 1593 74.404795 0.187349 0.110632 9266 
1175073426 10788 31598 5.857990 63 2482 1606 74.858176 0.187667 0.110646 9334 
1175173426 10817 31740 5.868540 63 2484 1617 75.197744 0.187450 0.110912 9386 
1175273426 10847 31876 5.877385 63 2491 1619 75.478012 0.186979 0.111015 9426 
1175373426 10870 32001 5.887948 63 2487 1621 75.782889 0.187307 0.111286 9477 
1175473426 10881 32083 5.897068 63 2485 1621 76.002941 0.187319 0.111398 9506 
1175573426 10910 32256 5.913107 63 2485 1628 76.474060 0.187478 0.111572 9573 
1175673426 10931 32393 5.926814 63 2485 1627 76.899826 0.186448 0.111061 9625 
1175773426 10949 32519 5.940086 63 2479 1633 77.270436 0.186212 0.111354 9683 
1175873426 10982 32628 5.942087 63 2494 1642 77.407212 0.186157 0.111230 9722 
1175973426 11005 32749 5.951658 64 2493 1651 77.684325 0.185802 0.111309 9760 
