Timestamp NoNodes NoLinks AverageDegree MaxDeg Singletons Doubletons MeanSquaredDeg Assortativity AverageClustering TriCount 
1271680475 0 0 0.000000 0 0 0 0.000000 0.000000 0.000000 0 
1272680475 2601 20154 15.497116 604 477 408 1601.026528 -0.201159 0.293880 91251 
1273680475 2739 21386 15.615918 631 517 414 1662.673238 -0.195517 0.274378 100522 
1274680475 2850 22772 15.980351 656 530 422 1763.514386 -0.192881 0.263317 111976 
1275680475 2973 24124 16.228725 676 527 455 1849.243189 -0.191838 0.252861 123087 
1276680475 3107 25554 16.449308 695 552 475 1928.812359 -0.189619 0.243656 134947 
1277680475 3242 27043 16.682912 723 583 498 2026.183220 -0.188730 0.239411 149202 
1278680475 3399 28536 16.790821 754 625 536 2100.780818 -0.187020 0.233794 162963 
1279680475 3544 30189 17.036682 784 644 548 2198.695260 -0.187401 0.233525 177167 
1280680475 3678 31641 17.205546 809 673 566 2277.746058 -0.186701 0.226766 190853 
1281680475 3820 33024 17.290052 836 696 597 2334.860733 -0.184639 0.221451 202821 
1282680475 3966 34258 17.275845 862 745 633 2379.736762 -0.183596 0.217137 214944 
1283680475 4091 35517 17.363481 878 767 668 2434.975801 -0.182813 0.213291 226894 
1284680475 4218 36711 17.406828 890 806 688 2484.437174 -0.182653 0.209926 239444 
1285680475 4354 38012 17.460726 909 840 711 2532.741847 -0.181344 0.205836 251821 
1286680475 4503 39394 17.496780 928 879 748 2587.067733 -0.180685 0.204811 267235 
1287680475 4651 40774 17.533434 947 920 758 2636.985164 -0.179943 0.201658 281570 
1288680475 4770 42245 17.712788 967 912 782 2717.704822 -0.180168 0.200818 298367 
1289680475 4904 43655 17.803834 978 931 818 2774.371533 -0.179892 0.201043 313327 
1290680475 5040 45111 17.901190 1000 961 834 2841.179762 -0.179998 0.199962 329885 
1291680475 5157 46273 17.945705 1016 1004 833 2886.569323 -0.179942 0.198509 342501 
1292680475 5273 47722 18.100512 1034 1012 875 2962.589418 -0.179942 0.198495 360432 
1293680475 5353 48540 18.135625 1044 1033 888 2994.132262 -0.179828 0.198481 370527 
1294680475 5452 49618 18.201761 1056 1060 896 3046.586941 -0.180572 0.200014 384799 
1295680475 5579 50800 18.211149 1074 1082 939 3088.421581 -0.180250 0.200800 399779 
1296680475 5711 52053 18.229032 1091 1120 964 3131.111539 -0.180162 0.198933 415058 
1297680475 5856 53385 18.232582 1114 1155 999 3173.365779 -0.180003 0.199069 430378 
1298680475 6000 54735 18.245000 1146 1194 1016 3220.341667 -0.179570 0.198689 446360 
1299680475 6145 55991 18.223271 1165 1242 1046 3255.493572 -0.179219 0.197145 462098 
1300680475 6268 56994 18.185705 1184 1289 1052 3276.422144 -0.178450 0.195318 473842 
1301680475 6419 58274 18.156722 1201 1328 1089 3309.004206 -0.178785 0.193908 488969 
1302680475 6542 59514 18.194436 1217 1365 1105 3351.658820 -0.178729 0.194213 504061 
1303680475 6688 60769 18.172548 1237 1427 1100 3384.723086 -0.178897 0.193609 519790 
1304680475 6812 62071 18.224016 1253 1452 1111 3431.059894 -0.178711 0.193887 536917 
1305680475 6933 63373 18.281552 1266 1488 1106 3476.828501 -0.178280 0.192210 554092 
1306680475 7051 64453 18.281946 1286 1513 1139 3506.743441 -0.177924 0.190983 567582 
1307680475 7160 65455 18.283520 1300 1553 1143 3536.500559 -0.177873 0.190004 581125 
1308680475 7281 66377 18.232935 1308 1606 1156 3548.328252 -0.177515 0.189582 592274 
1309680475 7379 67336 18.250711 1317 1613 1190 3576.586800 -0.177068 0.190075 605113 
1310680475 7492 68214 18.209824 1329 1636 1240 3592.452750 -0.177182 0.189160 615585 
1311680475 7608 69034 18.147739 1333 1694 1251 3600.686383 -0.177390 0.188120 625339 
1312680475 7719 69938 18.121000 1344 1717 1273 3618.349268 -0.176955 0.187161 638323 
1313680475 7822 70776 18.096650 1352 1749 1290 3633.923293 -0.176599 0.185863 650231 
1314680475 7931 71663 18.071618 1362 1763 1331 3650.746438 -0.176523 0.184895 662006 
1315680475 8034 72677 18.092357 1381 1786 1337 3679.948967 -0.176432 0.185102 673978 
1316680475 8159 73649 18.053438 1396 1831 1345 3694.050006 -0.176128 0.183567 685362 
1317680475 8283 74586 18.009417 1406 1869 1365 3707.193046 -0.176055 0.182713 697235 
1318680475 8404 75614 17.994764 1417 1923 1372 3735.285102 -0.176470 0.182239 713039 
1319680475 8510 76518 17.983079 1422 1944 1391 3750.962632 -0.176150 0.181558 723513 
1320680475 8623 77558 17.988635 1425 1972 1417 3772.856083 -0.175850 0.180600 738275 
1321680475 8748 78559 17.960448 1445 2010 1439 3791.810014 -0.175524 0.181446 751697 
1322680475 8863 79484 17.936139 1450 2041 1470 3808.236489 -0.175714 0.180853 764811 
1323680475 8981 80372 17.898230 1460 2083 1492 3823.515867 -0.175706 0.180652 777997 
1324680475 9086 81288 17.893022 1465 2108 1508 3844.687211 -0.176047 0.180301 789774 
1325680475 9161 81861 17.871630 1474 2126 1527 3854.173562 -0.175971 0.180057 797897 
1326680475 9258 82643 17.853316 1481 2147 1554 3866.868438 -0.175622 0.179805 809158 
1327680475 9382 83475 17.794713 1489 2177 1591 3868.932637 -0.175293 0.178865 819054 
1328680475 9497 84382 17.770243 1498 2213 1607 3885.443193 -0.175352 0.179949 832052 
1329680475 9639 85337 17.706609 1504 2263 1638 3889.578172 -0.175094 0.178474 843235 
1330680475 9764 86298 17.676772 1516 2308 1652 3903.621671 -0.174878 0.178336 857231 
1331680475 9882 87226 17.653511 1528 2330 1690 3915.148553 -0.174268 0.177183 869358 
1332680475 10022 88222 17.605668 1537 2368 1728 3926.582119 -0.174324 0.176873 883430 
1333680475 10156 89171 17.560260 1545 2407 1763 3936.459039 -0.174443 0.176679 896342 
1334680475 10272 90087 17.540304 1554 2440 1786 3953.722352 -0.174673 0.176241 908700 
1335680475 10411 91055 17.492076 1564 2482 1820 3963.592931 -0.174655 0.175828 920836 
1336680475 10508 91971 17.504949 1574 2495 1852 3985.935478 -0.174612 0.176128 933435 
1337680475 10607 92916 17.519751 1582 2510 1861 4006.884510 -0.174321 0.175803 946647 
1338680475 10732 93838 17.487514 1588 2554 1880 4016.928997 -0.174126 0.174755 959673 
1339680475 10840 94694 17.471218 1600 2579 1903 4031.473801 -0.174043 0.174506 971486 
1340680475 10962 95651 17.451377 1606 2610 1937 4045.915161 -0.173947 0.173542 986062 
1341680475 11061 96467 17.442727 1613 2643 1945 4060.898110 -0.173885 0.173323 998425 
1342680475 11193 97332 17.391584 1623 2689 1971 4067.410346 -0.173986 0.172112 1010420 
1343680475 11299 98115 17.367024 1628 2712 2002 4075.246128 -0.173874 0.171847 1020861 
1344680475 11408 99035 17.362377 1635 2730 2035 4095.208626 -0.174197 0.172224 1034375 
1345680475 11492 99756 17.360947 1645 2755 2035 4109.840063 -0.174111 0.171899 1045161 
1346680475 11624 100700 17.326222 1651 2803 2052 4118.040434 -0.173947 0.171328 1057993 
1347680475 11742 101564 17.299268 1661 2843 2059 4127.208482 -0.173771 0.171409 1069153 
