Timestamp NoNodes NoLinks AverageDegree MaxDeg Singletons Doubletons MeanSquaredDeg Assortativity AverageClustering TriCount 
1271680475 0 0 0.000000 0 0 0 0.000000 0.000000 0.000000 0 
1272680475 2601 20154 15.497116 591 513 384 1605.531719 -0.202913 0.292224 92130 
1273680475 2739 21386 15.615918 618 553 406 1675.732019 -0.200024 0.277139 102352 
1274680475 2850 22772 15.980351 647 564 421 1778.562105 -0.198279 0.264519 113846 
1275680475 2973 24124 16.228725 665 576 435 1863.800202 -0.195901 0.256956 126030 
1276680475 3107 25554 16.449308 692 603 450 1957.710332 -0.195023 0.249205 139521 
1277680475 3242 27043 16.682912 719 626 479 2044.478717 -0.193679 0.244040 152584 
1278680475 3399 28536 16.790821 742 684 486 2116.135334 -0.192161 0.234670 166182 
1279680475 3544 30189 17.036682 763 700 516 2213.220090 -0.191342 0.228122 182430 
1280680475 3678 31641 17.205546 791 733 531 2298.725938 -0.191266 0.225277 197197 
1281680475 3820 33024 17.290052 808 770 569 2363.730366 -0.190721 0.222667 210940 
1282680475 3966 34258 17.275845 828 828 593 2408.749874 -0.190115 0.218444 223908 
1283680475 4091 35517 17.363481 848 861 627 2471.932535 -0.190621 0.217420 236900 
1284680475 4218 36711 17.406828 865 894 647 2517.469891 -0.189809 0.214164 248675 
1285680475 4354 38012 17.460726 881 937 676 2577.501148 -0.189816 0.213040 263629 
1286680475 4503 39394 17.496780 906 990 696 2637.235177 -0.190182 0.212244 279074 
1287680475 4651 40774 17.533434 947 1016 748 2699.704150 -0.189933 0.212469 295295 
1288680475 4770 42245 17.712788 967 1019 781 2780.421803 -0.189654 0.213013 313345 
1289680475 4904 43655 17.803834 988 1046 788 2844.705139 -0.189314 0.210912 330278 
1290680475 5040 45111 17.901190 1007 1056 826 2910.671429 -0.189536 0.211248 347220 
1291680475 5157 46273 17.945705 1027 1081 846 2960.062439 -0.189285 0.210551 362108 
1292680475 5273 47722 18.100512 1051 1094 865 3037.520956 -0.189490 0.211881 380561 
1293680475 5353 48540 18.135625 1065 1112 882 3070.967308 -0.189329 0.212690 391202 
1294680475 5452 49618 18.201761 1078 1134 907 3121.344828 -0.189477 0.212960 405944 
1295680475 5579 50800 18.211149 1088 1165 937 3164.793691 -0.190106 0.211252 422051 
1296680475 5711 52053 18.229032 1107 1200 972 3212.657328 -0.190003 0.210352 439630 
1297680475 5856 53385 18.232582 1126 1242 1002 3258.998634 -0.190120 0.208891 458039 
1298680475 6000 54735 18.245000 1143 1285 1030 3305.424333 -0.190354 0.207753 476037 
1299680475 6145 55991 18.223271 1161 1331 1049 3344.877461 -0.190037 0.205831 494149 
1300680475 6268 56994 18.185705 1173 1362 1091 3373.200702 -0.190364 0.205905 508913 
1301680475 6419 58274 18.156722 1186 1413 1116 3409.307369 -0.190806 0.205676 526962 
1302680475 6542 59514 18.194436 1202 1441 1146 3455.245796 -0.190981 0.206754 544733 
1303680475 6688 60769 18.172548 1210 1490 1166 3486.485945 -0.191065 0.205986 562422 
1304680475 6812 62071 18.224016 1227 1520 1186 3541.041985 -0.191407 0.207320 583495 
1305680475 6933 63373 18.281552 1241 1546 1205 3595.418722 -0.191808 0.209351 603931 
1306680475 7051 64453 18.281946 1249 1574 1226 3628.721032 -0.192146 0.209738 619785 
1307680475 7160 65455 18.283520 1267 1609 1239 3660.294134 -0.192170 0.208866 634243 
1308680475 7281 66377 18.232935 1275 1647 1272 3677.933526 -0.192286 0.208181 648721 
1309680475 7379 67336 18.250711 1286 1661 1301 3712.070470 -0.192388 0.208482 663118 
1310680475 7492 68214 18.209824 1301 1705 1326 3732.715964 -0.192670 0.207984 676648 
1311680475 7608 69034 18.147739 1316 1763 1341 3745.966614 -0.192845 0.207078 688890 
1312680475 7719 69938 18.121000 1321 1799 1357 3765.199896 -0.193134 0.206631 702042 
1313680475 7822 70776 18.096650 1332 1830 1374 3784.732549 -0.193571 0.206737 713995 
1314680475 7931 71663 18.071618 1338 1865 1396 3803.272475 -0.193747 0.205409 727421 
1315680475 8034 72677 18.092357 1351 1884 1428 3838.490914 -0.194311 0.205613 742780 
1316680475 8159 73649 18.053438 1365 1918 1467 3855.545042 -0.194033 0.205714 757102 
1317680475 8283 74586 18.009417 1377 1979 1483 3871.071592 -0.194046 0.204771 771960 
1318680475 8404 75614 17.994764 1384 2005 1522 3896.566397 -0.194208 0.205018 789497 
1319680475 8510 76518 17.983079 1396 2019 1567 3917.890952 -0.193796 0.204836 804561 
1320680475 8623 77558 17.988635 1403 2046 1582 3945.267076 -0.193945 0.203876 820632 
1321680475 8748 78559 17.960448 1412 2092 1606 3969.032007 -0.194524 0.204807 836506 
1322680475 8863 79484 17.936139 1420 2136 1616 3985.619542 -0.194481 0.203636 850718 
1323680475 8981 80372 17.898230 1429 2177 1644 3999.440597 -0.194603 0.202840 864035 
1324680475 9086 81288 17.893022 1440 2211 1661 4023.944970 -0.194942 0.202192 879006 
1325680475 9161 81861 17.871630 1447 2240 1669 4033.358367 -0.194995 0.201653 887720 
1326680475 9258 82643 17.853316 1452 2266 1697 4050.384748 -0.195427 0.201680 900424 
1327680475 9382 83475 17.794713 1464 2302 1735 4059.305692 -0.195598 0.201390 912855 
1328680475 9497 84382 17.770243 1477 2351 1746 4078.398442 -0.195776 0.200619 926416 
1329680475 9639 85337 17.706609 1489 2411 1761 4083.817823 -0.195041 0.198482 942574 
1330680475 9764 86298 17.676772 1508 2444 1795 4102.506964 -0.194985 0.198892 958745 
1331680475 9882 87226 17.653511 1518 2492 1806 4119.293463 -0.194782 0.198227 974653 
1332680475 10022 88222 17.605668 1530 2554 1824 4134.658352 -0.194890 0.197868 992309 
1333680475 10156 89171 17.560260 1541 2581 1880 4149.588224 -0.195110 0.198219 1007805 
1334680475 10272 90087 17.540304 1551 2633 1887 4166.967679 -0.195139 0.197846 1023094 
1335680475 10411 91055 17.492076 1557 2685 1920 4176.733647 -0.194943 0.196661 1039673 
1336680475 10508 91971 17.504949 1571 2699 1954 4205.669966 -0.195338 0.197526 1056549 
1337680475 10607 92916 17.519751 1583 2710 1988 4235.725087 -0.195840 0.198658 1073730 
1338680475 10732 93838 17.487514 1592 2750 2007 4249.893589 -0.195919 0.199428 1089557 
1339680475 10840 94694 17.471218 1599 2783 2032 4269.086716 -0.196318 0.199777 1105123 
